utc,filter,pm,lat,lon,device
1405626036,10,0.008,37.803158,-122.294603,A
1405626037,10,0.008,37.803155,-122.294610,A
1405626038,10,0.009,37.803140,-122.294610,A
1405626039,10,0.008,37.803140,-122.294613,A
1405626040,10,0.007,37.803132,-122.294608,A
1405626041,10,0.008,37.803117,-122.294610,A
1405626042,10,0.008,37.803112,-122.294610,A
1405626043,10,0.009,37.803102,-122.294607,A
1405626044,10,0.008,37.803103,-122.294608,A
1405626045,10,0.007,37.803113,-122.294605,A
1405626046,10,0.007,37.803122,-122.294603,A
1405626047,10,0.007,37.803125,-122.294597,A
1405626048,10,0.007,37.803125,-122.294597,A
1405626049,10,0.007,37.803133,-122.294588,A
1405626050,10,0.008,37.803148,-122.294585,A
1405626051,10,0.011,37.803148,-122.294577,A
1405626052,10,0.009,37.803130,-122.294572,A
1405626053,10,0.008,37.803100,-122.294563,A
1405626054,10,0.008,37.803083,-122.294558,A
1405626055,10,0.007,37.803058,-122.294557,A
1405626056,10,0.008,37.803047,-122.294553,A
1405626057,10,0.007,37.803043,-122.294553,A
1405626058,10,0.007,37.803055,-122.294558,A
1405626059,10,0.007,37.803055,-122.294558,A
1405626060,10,0.007,37.803058,-122.294560,A
1405626061,10,0.008,37.803067,-122.294558,A
1405626062,10,0.007,37.803118,-122.294577,A
1405626063,10,0.009,37.803118,-122.294577,A
1405626064,10,0.010,37.803123,-122.294583,A
1405626065,10,0.007,37.803128,-122.294598,A
1405626066,10,0.006,37.803142,-122.294610,A
1405626067,10,0.006,37.803143,-122.294608,A
1405626068,10,0.008,37.803162,-122.294603,A
1405626069,10,0.007,37.803167,-122.294595,A
1405626070,10,0.007,37.803162,-122.294585,A
1405626071,10,0.009,37.803170,-122.294578,A
1405626072,10,0.009,37.803162,-122.294563,A
1405626073,10,0.007,37.803158,-122.294573,A
1405626074,10,0.007,37.803158,-122.294577,A
1405626075,10,0.007,37.803150,-122.294563,A
1405626076,10,0.008,37.803143,-122.294568,A
1405626077,10,0.008,37.803150,-122.294565,A
1405626078,10,0.008,37.803140,-122.294557,A
1405626079,10,0.007,37.803120,-122.294543,A
1405626080,10,0.008,37.803107,-122.294532,A
1405626081,10,0.007,37.803103,-122.294530,A
1405626082,10,0.008,37.803102,-122.294532,A
1405626083,10,0.008,37.803093,-122.294543,A
1405626084,10,0.009,37.803107,-122.294558,A
1405626085,10,0.009,37.803122,-122.294553,A
1405626086,10,0.007,37.803120,-122.294540,A
1405626087,10,0.007,37.803122,-122.294538,A
1405626088,10,0.008,37.803123,-122.294530,A
1405626089,10,0.008,37.803122,-122.294517,A
1405626090,10,0.009,37.803122,-122.294502,A
1405626091,10,0.013,37.803118,-122.294482,A
1405626092,10,0.020,37.803117,-122.294457,A
1405626093,10,0.021,37.803112,-122.294447,A
1405626094,10,0.018,37.803105,-122.294442,A
1405626095,10,0.018,37.803097,-122.294443,A
1405626096,10,0.016,37.803088,-122.294423,A
1405626097,10,0.011,37.803090,-122.294423,A
1405626098,10,0.008,37.803087,-122.294430,A
1405626099,10,0.008,37.803072,-122.294435,A
1405626100,10,0.007,37.803058,-122.294440,A
1405626101,10,0.007,37.803048,-122.294445,A
1405626102,10,0.008,37.803040,-122.294448,A
1405626103,10,0.009,37.803027,-122.294453,A
1405626104,10,0.010,37.803007,-122.294458,A
1405626105,10,0.010,37.803002,-122.294460,A
1405626106,10,0.009,37.802997,-122.294460,A
1405626107,10,0.008,37.802968,-122.294470,A
1405626108,10,0.008,37.802968,-122.294470,A
1405626109,10,0.007,37.802977,-122.294468,A
1405626110,10,0.009,37.802987,-122.294472,A
1405626111,10,0.009,37.802982,-122.294472,A
1405626112,10,0.009,37.802965,-122.294468,A
1405626113,10,0.008,37.802937,-122.294458,A
1405626114,10,0.009,37.802933,-122.294452,A
1405626115,10,0.009,37.802922,-122.294452,A
1405626116,10,0.010,37.802917,-122.294452,A
1405626117,10,0.010,37.802923,-122.294455,A
1405626118,10,0.011,37.802933,-122.294460,A
1405626119,10,0.009,37.802942,-122.294463,A
1405626120,10,0.008,37.802947,-122.294465,A
1405626121,10,0.009,37.802953,-122.294468,A
1405626122,10,0.010,37.802958,-122.294477,A
1405626123,10,0.008,37.802958,-122.294477,A
1405626124,10,0.009,37.802980,-122.294480,A
